fid,in_atuacao,in_id,in_iptu_pr,in_situac,in_sql,in_tipolog,CEPEUC_SETOR_QUADRA_LOTE,CEPEUC_TIPOLOGIA,CEPEUC_LOGRADOURO,CEPEUC_N,CEPEUC_COND.,CEPEUC_SUBPREFEITURA,CEPEUC_PERIMETRO,CEPEUC_AREA_DO_TERRENO,CEPEUC_AREA_CONTRUÍDA,CEPEUC_DATA_DA_NOTIFICAÇAO,CEPEUC_IDENTIFICAÇÃO_DO_INSTRUMENTO,CEPEUC_SITUAÇAO_DO_IMOVEL,CEPEUC_SOLICITACAO_DA_AVERBACAO,CEPEUC_DATA_INICIAL_DA_APLICAÇÃO,CEPEUC_DATA_PROTOCOLO_APROVACAO_E_EXECUCAO_PROJETO_OU_EQUIVALENTE,CEPEUC_DATA_EXPEDICAO_ALVARA_APROVACAO_E_EXECUCAO,CEPEUC_BASE_DECAD2018,CEPEUC_DATA_1_APLICACAO_DA_ALIQUOTA_PROGRESSIVA,CEPEUC_IPTU_PROGRESSIVO_ENVIADOS_SF2016,CEPEUC_IPTU_PROGRESSIVO_ENVIADOS_SF2017,CEPEUC_IPTU_PROGRESSIVO_ENVIADOS_SF2018,CEPEUC_IPTU_PROGRESSIVO_ENVIADOS_SF2019,CEPEUC_DATA DA PUBLICACAO_DECRETO_DE_DESAPROPRIACAO,CEPEUC_DATA_DA_PROPOSITURA_DEACAO_DE_DESAPROPRIACAO,CEPEUC_DESTINACAO_DO_IMOVEL,CEPEUC_JUSTIFICATIVA_AUSENCIA_INTERESSE_NA_AQUISICAO
"1255",ZEIS 2,"1255",NÃO,NOTIFICADO,"1570130092",NAO EDIFICADO,"1570130092",NÃO EDIFICADO,R DR PASCHOAL BOCCI,"99999",NÃO,SPIP,ZEIS 2,"487","0",2019/07/25,PEUC,NOTIFICADO,"-",2019/07/25,"-","-",,"-","-","-","-","-","-","-","-","-"
"1256",SUBPREFEITURA MOOCA,"1256",NÃO,NOTIFICADO,"0310750046",SUBUTILIZADO,"0310750046",SUBUTILIZADO,R SALVADOR FIORDELISIO,"00058",,SPMO,SUBPREFEITURA MOOCA,"1200","345",2019/07/27,PEUC,NOTIFICADO,"-",2019/07/27,"-","-",,"-","-","-","-","-","-","-","-","-"
"1257",SUBPREFEITURA SÉ,"1257",NÃO,NOTIFICADO,"0280640334",NAO UTILIZADO,"0280640334",NÃO UTILIZADO,R DA MOOCA,"1190",,SPSE,SUBPREFEITURA SÉ,"206","192",2019/04/24,PEUC,NOTIFICADO,"-",2019/04/24,"-","-",,"-","-","-","-","-","-","-","-","-"
"1258",ZEIS 5,"1258",NÃO,IMPUGNAÇÃO EM ANÁLISE,"1571980056",NAO EDIFICADO,"1571980056",NÃO EDIFICADO,R DR PASCHOAL BOCCI,"99999",NÃO,SPIP,ZEIS 5,"279","0",2019/05/27,PEUC,IMPUGNAÇÃO EM ANÁLISE,"-",2019/05/27,"-","-",,"-","-","-","-","-","-","-","-","-"
"1259",SUBPREFEITURA MOOCA,"1259",NÃO,NOTIFICADO,"0181000060",NAO EDIFICADO,"0181000060",NÃO EDIFICADO,PC BENTO DE CAMARGO BARROS,"99999",NA,SPMO,SUBPREFEITURA MOOCA,"3155","0",2019/08/07,PEUC,NOTIFICADO,"-",2019/08/07,"-","-",,"-","-","-","-","-","-","-","-","-"
"1260",SUBPREFEITURA SÉ,"1260",NÃO,IMPUGNAÇÃO EM ANÁLISE,"0200240119",SUBUTILIZADO,"0200240119",SUBUTILIZADO,R LOPES CHAVES,"99999",,SPSE,SUBPREFEITURA SÉ,"1724","0",2019/08/16,PEUC,IMPUGNAÇÃO EM ANÁLISE,"-",2019/08/16,"-","-",,"-","-","-","-","-","-","-","-","-"
"1261",SUBPREFEITURA SÉ,"1261",NÃO,NOTIFICADO,"0200370083",SUBUTILIZADO,"0200370083",SUBUTILIZADO,R CAMARAJIBE,"221",,SPSE,SUBPREFEITURA SÉ,"541","30",2019/08/12,PEUC,NOTIFICADO,"-",2019/08/12,"-","-",,"-","-","-","-","-","-","-","-","-"
"1262",SUBPREFEITURA MOOCA,"1262",NÃO,NOTIFICADO,"0621050086",NAO UTILIZADO,"0621050086",NÃO UTILIZADO,R IVAI,"43",,SPMO,SUBPREFEITURA MOOCA,"960","970",2019/08/07,PEUC,NOTIFICADO,"-",2019/08/07,"-","-",,"-","-","-","-","-","-","-","-","-"
"1263",SUBPREFEITURA MOOCA/ZEIS 3,"1263",NÃO,IMPUGNAÇÃO EM ANÁLISE,"0260270013",NAO UTILIZADO,"0260270013",NÃO UTILIZADO,R CATUMBI,"183",,SPMO,SUBPREFEITURA MOOCA / ZEIS 3,"515","1244",2019/08/22,PEUC,IMPUGNAÇÃO EM ANÁLISE,"-",2019/08/22,"-","-",,"-","-","-","-","-","-","-","-","-"
"1264",SUBPREFEITURA MOOCA,"1264",NÃO,NOTIFICADO,"0310140047",NAO EDIFICADO,"0310140047",NÃO EDIFICADO,R MARCIAL,"99999",,SPMO,SUBPREFEITURA MOOCA,"266","0",2019/08/21,PEUC,NOTIFICADO,"-",2019/08/21,"-","-",,"-","-","-","-","-","-","-","-","-"
"1265",SUBPREFEITURA MOOCA,"1265",NÃO,NOTIFICADO,"0310140048",NAO EDIFICADO,"0310140048",NÃO EDIFICADO,R MARCIAL,"99999",,SPMO,SUBPREFEITURA MOOCA,"260","0",2019/08/21,PEUC,NOTIFICADO,"-",2019/08/21,"-","-",,"-","-","-","-","-","-","-","-","-"
"1266",SUBPREFEITURA MOOCA,"1266",NÃO,NOTIFICADO,"0310140049",NAO EDIFICADO,"0310140049",NÃO EDIFICADO,R MARCIAL,"99999",,SPMO,SUBPREFEITURA MOOCA,"125","0",2019/08/21,PEUC,NOTIFICADO,"-",2019/08/21,"-","-",,"-","-","-","-","-","-","-","-","-"
"1267",SUBPREFEITURA MOOCA,"1267",NÃO,NOTIFICADO,"0310140050",NAO EDIFICADO,"0310140050",NÃO EDIFICADO,R MARCIAL,"99999",,SPMO,SUBPREFEITURA MOOCA,"114","0",2019/08/21,PEUC,NOTIFICADO,"-",2019/08/21,"-","-",,"-","-","-","-","-","-","-","-","-"
"1268",SUBPREFEITURA MOOCA,"1268",NÃO,IMPUGNAÇÃO EM ANÁLISE,"0310140051",NAO EDIFICADO,"0310140051",NÃO EDIFICADO,R MARCIAL,"99999",,SPMO,SUBPREFEITURA MOOCA,"142","0",2019/08/21,PEUC,IMPUGNAÇÃO EM ANÁLISE,"-",2019/08/21,"-","-",,"-","-","-","-","-","-","-","-","-"
"1269",SUBPREFEITURA MOOCA,"1269",NÃO,NOTIFICADO,"0310140052",NAO EDIFICADO,"0310140052",NÃO EDIFICADO,R MARCIAL,"99999",,SPMO,SUBPREFEITURA MOOCA,"142","0",2019/08/21,PEUC,NOTIFICADO,"-",2019/08/21,"-","-",,"-","-","-","-","-","-","-","-","-"
"1270",SUBPREFEITURA MOOCA,"1270",NÃO,NOTIFICADO,"0540140119",SUBUTILIZADO,"0540140119",SUBUTILIZADO,R ANTONIO DE BARROS,"02102",,SPMO,SUBPREFEITURA MOOCA,"663","100",2019/08/17,PEUC,NOTIFICADO,"-",2019/08/17,"-","-",,"-","-","-","-","-","-","-","-","-"
"1271",SUBPREFEITURA SÉ,"1271",NÃO,IMPUGNAÇÃO EM ANÁLISE,"0200120020",NAO UTILIZADO,"0200120020",NÃO UTILIZADO,R BRIGADEIRO GALVAO,"996",,SPSE,SUBPREFEITURA SÉ,"300","266",2019/08/30,PEUC,IMPUGNAÇÃO EM ANÁLISE,"-",2019/08/30,"-","-",,"-","-","-","-","-","-","-","-","-"
"1272",SUBPREFEITURA MOOCA,"1272",NÃO,IMPUGNAÇÃO EM ANÁLISE,"0621100612",NAO UTILIZADO,"0621100612",NÃO UTILIZADO,R TUIUTI,"718",,SPMO,SUBPREFEITURA MOOCA,"4318","3468",2019/08/30,PEUC,IMPUGNAÇÃO EM ANÁLISE,"-",2019/08/30,"-","-",,"-","-","-","-","-","-","-","-","-"
"1273",SUBPREFEITURA MOOCA,"1273",NÃO,NOTIFICADO,"1020330051",NAO EDIFICADO,"1020330051",NÃO EDIFICADO,R DOMINGOS AFONSO,"00300",NA,SPMO,SUBPREFEITURA MOOCA,"703","0",2019/07/15,PEUC,NOTIFICADO,"-",2019/07/15,"-","-",,"-","-","-","-","-","-","-","-","-"
"1274",SUBPREFEITURA MOOCA,"1274",NÃO,IMPUGNAÇÃO EM ANÁLISE,"0301650003",NAO EDIFICADO,"0301650003",NÃO EDIFICADO,R IRAPE,"99999",NA,SPMO,SUBPREFEITURA MOOCA,"4714","0",2019/09/11,PEUC,IMPUGNAÇÃO EM ANÁLISE,"-",2019/09/11,"-","-",,"-","-","-","-","-","-","-","-","-"
"1275",OU CENTRO,"1275",NÃO,IMPUGNAÇÃO EM ANÁLISE,"0080720047",NAO UTILIZADO,"0080720047",NÃO UTILIZADO,AV RIO BRANCO,"491",NÃO,SPSE,OU CENTRO,"176","528",2019/09/19,PEUC,IMPUGNAÇÃO EM ANÁLISE,"-",2019/09/19,"-","-",,"-","-","-","-","-","-","-","-","-"
"1276",SUBPREFEITURA MOOCA,"1276",NÃO,NOTIFICADO,"0540670102",SUBUTILIZADO,"0540670102",SUBUTILIZADO,R EUCLIDES PACHECO,"00809",,SPMO,SUBPREFEITURA MOOCA,"742","20",2019/08/30,PEUC,NOTIFICADO,"-",2019/08/30,"-","-",,"-","-","-","-","-","-","-","-","-"
"1277",OU CENTRO,"1277",NÃO,IMPUGNAÇÃO EM ANÁLISE,"0080720045",NAO UTILIZADO,"0080720045",NÃO UTILIZADO,R VITORIA,"486",NÃO,SPSE,OU CENTRO,"442","1728",2019/10/16,PEUC,IMPUGNAÇÃO EM ANÁLISE,"-",2019/10/16,"-","-",,"-","-","-","-","-","-","-","-","-"
"1278",SUBPREFEITURA MOOCA,"1278",NÃO,IMPUGNAÇÃO EM ANÁLISE,"0310100081",NAO UTILIZADO,"0310100081",NÃO UTILIZADO,R TOBIAS BARRETO,"00501",NA,SPMO,SUBPREFEITURA MOOCA,"1002","0",2019/10/01,PEUC,IMPUGNAÇÃO EM ANÁLISE,"-",2019/10/01,"-","-",,"-","-","-","-","-","-","-","-","-"
"1279",SUBPREFEITURA MOOCA,"1279",NÃO,NOTIFICADO,"0540410052",SUBUTILIZADO,"0540410052",SUBUTILIZADO,R FRANCISCO MARENGO,"00394",,SPMO,SUBPREFEITURA MOOCA,"509","86",2019/10/01,PEUC,NOTIFICADO,"-",2019/10/01,"-","-",,"-","-","-","-","-","-","-","-","-"
"1280",SUBPREFEITURA MOOCA,"1280",NÃO,NOTIFICADO,"0540720118",NAO UTILIZADO,"0540720118",NÃO UTILIZADO,R AZEVEDO SOARES,"00945",,SPMO,SUBPREFEITURA MOOCA,"530","120",2019/10/01,PEUC,NOTIFICADO,"-",2019/10/01,"-","-",,"-","-","-","-","-","-","-","-","-"
"1281",ZEIS 3,"1281",NÃO,NOTIFICADO,"0713680400",SUBUTILIZADO,"0713680400",SUBUTILIZADO,AV DR FRANCISCO RANIERI,"00681",NÃO,SPST,ZEIS 3,"7032","732",2019/10/01,PEUC,NOTIFICADO,"-",2019/10/01,"-","-",,"-","-","-","-","-","-","-","-","-"
"1282",SUBPREFEITURA MOOCA,"1282",NÃO,IMPUGNAÇÃO EM ANÁLISE,"0540050019",NAO EDIFICADO,"0540050019",NÃO EDIFICADO,PC BR DE ITAQUI,"00817",,SPMO,SUBPREFEITURA MOOCA,"322","258",2019/10/27,PEUC,IMPUGNAÇÃO EM ANÁLISE,"-",2019/10/27,"-","-",,"-","-","-","-","-","-","-","-","-"
"1283",SUBPREFEITURA MOOCA,"1283",NÃO,NOTIFICADO,"0540050020",NAO EDIFICADO,"0540050020",NÃO EDIFICADO,PC BR DE ITAQUI,"00825",,SPMO,SUBPREFEITURA MOOCA,"516","46",2019/10/27,PEUC,NOTIFICADO,"-",2019/10/27,"-","-",,"-","-","-","-","-","-","-","-","-"
"1284",SUBPREFEITURA MOOCA,"1284",NÃO,NOTIFICADO,"0540050050",NAO EDIFICADO,"0540050050",NÃO EDIFICADO,PC BR DE ITAQUI,"00835",,SPMO,SUBPREFEITURA MOOCA,"108","128",2019/10/27,PEUC,NOTIFICADO,"-",2019/10/27,"-","-",,"-","-","-","-","-","-","-","-","-"
"1285",SUBPREFEITURA MOOCA,"1285",NÃO,NOTIFICADO,"0540050053",NAO EDIFICADO,"0540050053",NÃO EDIFICADO,R PLATINA,"00863",,SPMO,SUBPREFEITURA MOOCA,"81","80",2019/10/27,PEUC,NOTIFICADO,"-",2019/10/27,"-","-",,"-","-","-","-","-","-","-","-","-"
"1286",SUBPREFEITURA MOOCA,"1286",NÃO,NOTIFICADO,"0540050054",NAO EDIFICADO,"0540050054",NÃO EDIFICADO,R PLATINA,"00867",,SPMO,SUBPREFEITURA MOOCA,"80","80",2019/10/27,PEUC,NOTIFICADO,"-",2019/10/27,"-","-",,"-","-","-","-","-","-","-","-","-"
"1287",SUBPREFEITURA MOOCA,"1287",NÃO,NOTIFICADO,"0540050055",NAO EDIFICADO,"0540050055",NÃO EDIFICADO,R PLATINA,"00871",,SPMO,SUBPREFEITURA MOOCA,"80","80",2019/10/27,PEUC,NOTIFICADO,"-",2019/10/27,"-","-",,"-","-","-","-","-","-","-","-","-"
"1288",SUBPREFEITURA MOOCA,"1288",NÃO,NOTIFICADO,"0540050066",NAO EDIFICADO,"0540050066",NÃO EDIFICADO,PC BR DE ITAQUI,"00837",,SPMO,SUBPREFEITURA MOOCA,"100","128",2019/10/27,PEUC,NOTIFICADO,"-",2019/10/27,"-","-",,"-","-","-","-","-","-","-","-","-"
"1289",SUBPREFEITURA MOOCA,"1289",NÃO,NOTIFICADO,"0540050067",NAO EDIFICADO,"0540050067",NÃO EDIFICADO,R PLATINA,"00851",,SPMO,SUBPREFEITURA MOOCA,"130","30",2019/10/27,PEUC,NOTIFICADO,"-",2019/10/27,"-","-",,"-","-","-","-","-","-","-","-","-"
"1290",SUBPREFEITURA MOOCA,"1290",NÃO,NOTIFICADO,"0540050068",NAO EDIFICADO,"0540050068",NÃO EDIFICADO,R VILELA,"00600",,SPMO,SUBPREFEITURA MOOCA,"563","590",2019/10/27,PEUC,NOTIFICADO,"-",2019/10/27,"-","-",,"-","-","-","-","-","-","-","-","-"
"1291",ZEIS 5,"1291",NÃO,NOTIFICADO,"1091720049",NAO EDIFICADO,"1091720049",NÃO EDIFICADO,R FRUCTUOSO VIANNA,"99999",,SPJT,ZEIS 5,"13023","0",2019/10/16,PEUC,NOTIFICADO,"-",2019/10/16,"-","-",,"-","-","-","-","-","-","-","-","-"
"1292",SUBPREFEITURA MOOCA,"1292",NÃO,NOTIFICADO,"0621720116",SUBUTILIZADO,"0621720116",SUBUTILIZADO,AV CELSO GARCIA,"4608",,SPMO,SUBPREFEITURA MOOCA,"1138","600",2019/10/17,PEUC,NOTIFICADO,"-",2019/10/17,"-","-",,"-","-","-","-","-","-","-","-","-"
"1293",OU CENTRO,"1293",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0060350259",NAO UTILIZADO,"0060350259",NÃO UTILIZADO,AV. NOVE DE JULHO,"40",SIM,SPSE,OU CENTRO,"857","76",2019/11/26,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2019/11/26,"-","-",,"-","-","-","-","-","-","-","-","-"
"1294",OU CENTRO,"1294",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0060350260",NAO UTILIZADO,"0060350260",NÃO UTILIZADO,AV. NOVE DE JULHO,"40",SIM,SPSE,OU CENTRO,"857","70",2019/11/26,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2019/11/26,"-","-",,"-","-","-","-","-","-","-","-","-"
"1295",OU CENTRO,"1295",NÃO,IMPUGNAÇÃO EM ANÁLISE,"0060350235",NAO UTILIZADO,"0060350235",NÃO UTILIZADO,AV. NOVE DE JULHO,"40",SIM,SPSE,OU CENTRO,"857","91",2019/11/28,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2019/11/28,"-","-",,"-","-","-","-","-","-","-","-","-"
"1296",OU CENTRO,"1296",NÃO,IMPUGNAÇÃO EM ANÁLISE,"0060350236",NAO UTILIZADO,"0060350236",NÃO UTILIZADO,AV. NOVE DE JULHO,"40",SIM,SPSE,OU CENTRO,"857","70",2019/11/28,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2019/11/28,"-","-",,"-","-","-","-","-","-","-","-","-"
"1297",OU CENTRO,"1297",NÃO,IMPUGNAÇÃO EM ANÁLISE,"0060350237",NAO UTILIZADO,"0060350237",NÃO UTILIZADO,AV. NOVE DE JULHO,"40",SIM,SPSE,OU CENTRO,"857","88",2019/11/28,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2019/11/28,"-","-",,"-","-","-","-","-","-","-","-","-"
"1298",OU CENTRO,"1298",NÃO,IMPUGNAÇÃO EM ANÁLISE,"0060350238",NAO UTILIZADO,"0060350238",NÃO UTILIZADO,AV. NOVE DE JULHO,"40",SIM,SPSE,OU CENTRO,"857","96",2019/11/28,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2019/11/28,"-","-",,"-","-","-","-","-","-","-","-","-"
"1299",OU CENTRO,"1299",NÃO,IMPUGNAÇÃO EM ANÁLISE,"0060350239",NAO UTILIZADO,"0060350239",NÃO UTILIZADO,AV. NOVE DE JULHO,"40",SIM,SPSE,OU CENTRO,"857","70",2019/11/28,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2019/11/28,"-","-",,"-","-","-","-","-","-","-","-","-"
"1300",OU CENTRO,"1300",NÃO,IMPUGNAÇÃO EM ANÁLISE,"0060350240",NAO UTILIZADO,"0060350240",NÃO UTILIZADO,AV. NOVE DE JULHO,"40",SIM,SPSE,OU CENTRO,"857","79",2019/11/28,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2019/11/28,"-","-",,"-","-","-","-","-","-","-","-","-"
"1301",OU CENTRO,"1301",NÃO,IMPUGNAÇÃO EM ANÁLISE,"0060350241",NAO UTILIZADO,"0060350241",NÃO UTILIZADO,AV. NOVE DE JULHO,"40",SIM,SPSE,OU CENTRO,"857","78",2019/11/28,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2019/11/28,"-","-",,"-","-","-","-","-","-","-","-","-"
"1302",OU CENTRO,"1302",NÃO,IMPUGNAÇÃO EM ANÁLISE,"0060350242",NAO UTILIZADO,"0060350242",NÃO UTILIZADO,AV. NOVE DE JULHO,"40",SIM,SPSE,OU CENTRO,"857","68",2019/11/28,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2019/11/28,"-","-",,"-","-","-","-","-","-","-","-","-"
"1303",OU CENTRO,"1303",NÃO,IMPUGNAÇÃO EM ANÁLISE,"0060350245",NAO UTILIZADO,"0060350245",NÃO UTILIZADO,AV. NOVE DE JULHO,"40",SIM,SPSE,OU CENTRO,"857","70",2019/11/28,PEUC,IMPUGNAÇÃO EM ANÁLISE,"-",2019/11/28,"-","-",,"-","-","-","-","-","-","-","-","-"
"1304",OU CENTRO,"1304",NÃO,IMPUGNAÇÃO EM ANÁLISE,"0060350246",NAO UTILIZADO,"0060350246",NÃO UTILIZADO,AV. NOVE DE JULHO,"40",SIM,SPSE,OU CENTRO,"857","70",2019/11/28,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2019/11/28,"-","-",,"-","-","-","-","-","-","-","-","-"
"1305",OU CENTRO,"1305",NÃO,IMPUGNAÇÃO EM ANÁLISE,"0060350247",NAO UTILIZADO,"0060350247",NÃO UTILIZADO,AV. NOVE DE JULHO,"40",SIM,SPSE,OU CENTRO,"857","70",2019/11/28,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2019/11/28,"-","-",,"-","-","-","-","-","-","-","-","-"
"1306",OU CENTRO,"1306",NÃO,IMPUGNAÇÃO EM ANÁLISE,"0060350248",NAO UTILIZADO,"0060350248",NÃO UTILIZADO,AV. NOVE DE JULHO,"40",SIM,SPSE,OU CENTRO,"857","70",2019/11/28,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2019/11/28,"-","-",,"-","-","-","-","-","-","-","-","-"
"1307",OU CENTRO,"1307",NÃO,IMPUGNAÇÃO EM ANÁLISE,"0060350249",NAO UTILIZADO,"0060350249",NÃO UTILIZADO,AV. NOVE DE JULHO,"40",SIM,SPSE,OU CENTRO,"857","60",2019/11/28,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2019/11/28,"-","-",,"-","-","-","-","-","-","-","-","-"
"1308",OU CENTRO,"1308",NÃO,IMPUGNAÇÃO EM ANÁLISE,"0060350250",NAO UTILIZADO,"0060350250",NÃO UTILIZADO,AV. NOVE DE JULHO,"40",SIM,SPSE,OU CENTRO,"857","60",2019/11/28,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2019/11/28,"-","-",,"-","-","-","-","-","-","-","-","-"
"1309",OU CENTRO,"1309",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0060350283",NAO UTILIZADO,"0060350283",NÃO UTILIZADO,AV. NOVE DE JULHO,"40",SIM,SPSE,OU CENTRO,"857","56",2019/11/28,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2019/11/28,"-","-",,"-","-","-","-","-","-","-","-","-"
"1310",OU CENTRO,"1310",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0060350284",NAO UTILIZADO,"0060350284",NÃO UTILIZADO,AV. NOVE DE JULHO,"40",SIM,SPSE,OU CENTRO,"857","43",2019/11/28,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2019/11/28,"-","-",,"-","-","-","-","-","-","-","-","-"
"1311",OU CENTRO,"1311",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0060350285",NAO UTILIZADO,"0060350285",NÃO UTILIZADO,AV. NOVE DE JULHO,"40",SIM,SPSE,OU CENTRO,"857","70",2019/11/28,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2019/11/28,"-","-",,"-","-","-","-","-","-","-","-","-"
"1312",OU CENTRO,"1312",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0060350286",NAO UTILIZADO,"0060350286",NÃO UTILIZADO,AV. NOVE DE JULHO,"40",SIM,SPSE,OU CENTRO,"857","80",2019/11/28,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2019/11/28,"-","-",,"-","-","-","-","-","-","-","-","-"
"1313",OU CENTRO,"1313",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0060350287",NAO UTILIZADO,"0060350287",NÃO UTILIZADO,AV. NOVE DE JULHO,"40",SIM,SPSE,OU CENTRO,"857","59",2019/11/28,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2019/11/28,"-","-",,"-","-","-","-","-","-","-","-","-"
"1314",OU CENTRO,"1314",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0060350288",NAO UTILIZADO,"0060350288",NÃO UTILIZADO,AV. NOVE DE JULHO,"40",SIM,SPSE,OU CENTRO,"857","70",2019/11/28,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2019/11/28,"-","-",,"-","-","-","-","-","-","-","-","-"
"1315",OU CENTRO,"1315",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0060350289",NAO UTILIZADO,"0060350289",NÃO UTILIZADO,AV. NOVE DE JULHO,"40",SIM,SPSE,OU CENTRO,"857","60",2019/11/28,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2019/11/28,"-","-",,"-","-","-","-","-","-","-","-","-"
"1316",OU CENTRO,"1316",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0060350290",NAO UTILIZADO,"0060350290",NÃO UTILIZADO,AV. NOVE DE JULHO,"40",SIM,SPSE,OU CENTRO,"857","60",2019/11/28,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2019/11/28,"-","-",,"-","-","-","-","-","-","-","-","-"
"1317",OU CENTRO,"1317",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0060350291",NAO UTILIZADO,"0060350291",NÃO UTILIZADO,AV. NOVE DE JULHO,"40",SIM,SPSE,OU CENTRO,"857","70",2019/11/28,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2019/11/28,"-","-",,"-","-","-","-","-","-","-","-","-"
"1318",OU CENTRO,"1318",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0060350292",NAO UTILIZADO,"0060350292",NÃO UTILIZADO,AV. NOVE DE JULHO,"40",SIM,SPSE,OU CENTRO,"857","70",2019/11/28,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2019/11/28,"-","-",,"-","-","-","-","-","-","-","-","-"
"1319",OU CENTRO,"1319",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0060350293",NAO UTILIZADO,"0060350293",NÃO UTILIZADO,AV. NOVE DE JULHO,"40",SIM,SPSE,OU CENTRO,"857","70",2019/11/28,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2019/11/28,"-","-",,"-","-","-","-","-","-","-","-","-"
"1320",OU CENTRO,"1320",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0060350294",NAO UTILIZADO,"0060350294",NÃO UTILIZADO,AV. NOVE DE JULHO,"40",SIM,SPSE,OU CENTRO,"857","80",2019/11/28,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2019/11/28,"-","-",,"-","-","-","-","-","-","-","-","-"
"1321",OU CENTRO,"1321",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0060350295",NAO UTILIZADO,"0060350295",NÃO UTILIZADO,AV. NOVE DE JULHO,"40",SIM,SPSE,OU CENTRO,"857","70",2019/11/28,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2019/11/28,"-","-",,"-","-","-","-","-","-","-","-","-"
"1322",OU CENTRO,"1322",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0060350296",NAO UTILIZADO,"0060350296",NÃO UTILIZADO,AV. NOVE DE JULHO,"40",SIM,SPSE,OU CENTRO,"857","70",2019/11/28,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2019/11/28,"-","-",,"-","-","-","-","-","-","-","-","-"
"1323",OU CENTRO,"1323",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0060350297",NAO UTILIZADO,"0060350297",NÃO UTILIZADO,AV. NOVE DE JULHO,"40",SIM,SPSE,OU CENTRO,"857","60",2019/11/28,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2019/11/28,"-","-",,"-","-","-","-","-","-","-","-","-"
"1324",OU CENTRO,"1324",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0060350298",NAO UTILIZADO,"0060350298",NÃO UTILIZADO,AV. NOVE DE JULHO,"40",SIM,SPSE,OU CENTRO,"857","60",2019/11/28,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2019/11/28,"-","-",,"-","-","-","-","-","-","-","-","-"
